INFO 2023-06-29 20:54:31,951 autoreload 26690 139879589480256 Watching for file changes with StatReloader
DEBUG 2023-06-29 20:54:31,952 autoreload 26690 139879589480256 Waiting for apps ready_event.
DEBUG 2023-06-29 20:54:31,982 autoreload 26690 139879589480256 Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2023-06-29 20:54:32,080 autoreload 26690 139879589480256 Watching dir /home/akshattiwari/Desktop/BARC_proj/locale with glob **/*.mo.
DEBUG 2023-06-29 20:54:32,080 autoreload 26690 139879589480256 Watching dir /home/akshattiwari/Desktop/BARC_proj/Barcapp/locale with glob **/*.mo.
DEBUG 2023-06-29 20:54:32,255 utils 26690 139879328134720 (0.006) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2023-06-29 20:54:32,278 utils 26690 139879328134720 (0.002) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2023-06-29 20:54:32,511 autoreload 26690 139879589480256 File /home/akshattiwari/.local/share/virtualenvs/BARC_proj-RKBxYLIq/lib/python3.9/site-packages/django/db/models/functions/window.py first seen with mtime 1687781568.2205942
DEBUG 2023-06-29 20:54:32,518 autoreload 26690 139879589480256 File /usr/lib64/python3.9/asyncio/staggered.py first seen with mtime 1670349586.0
DEBUG 2023-06-29 20:54:32,518 autoreload 26690 139879589480256 File /usr/lib64/python3.9/asyncio/streams.py first seen with mtime 1670349586.0
DEBUG 2023-06-29 20:54:32,519 autoreload 26690 139879589480256 File /home/akshattiwari/.local/share/virtualenvs/BARC_proj-RKBxYLIq/lib/python3.9/site-packages/django/urls/conf.py first seen with mtime 1687781568.2856793
DEBUG 2023-06-29 20:54:32,521 autoreload 26690 139879589480256 File /home/akshattiwari/.local/share/virtualenvs/BARC_proj-RKBxYLIq/lib/python3.9/site-packages/django/templatetags/cache.py first seen with mtime 1687781568.277669
